Time / min,Temp / dC,DSC / microW mg-1,DDSC / microW mg-1min-1
7.183333333333334,-42.2973480224609,95.9311965592686,27.500824264603132
7.191666666666666,-42.3790740966797,95.69899685360203,27.57861082483231
7.2,-42.4608001708984,95.46932179945166,27.62569216391839
7.208333333333333,-42.5424613952637,95.23807736733175,27.573697989449414
7.216666666666667,-42.6241035461426,95.01113166617189,27.640021267118502
7.225,-42.7057075500488,94.78121779363471,27.79395677578256
7.233333333333333,-42.7873039245605,94.54529934451874,27.659672608650084
7.241666666666666,-42.8689460754395,94.31378197709978,27.574107392397988
7.25,-42.9505081176758,94.09093030542566,27.666223055827277
7.258333333333334,-43.0320930480957,93.85303307539128,28.003161682504192
7.266666666666667,-43.1136894226074,93.61503349461991,28.291790761249302
7.275,-43.1952629089355,93.39402413621437,28.64060207343488
7.283333333333333,-43.2768592834473,93.17147951675183,28.987366370877588
7.291666666666667,-43.3584785461426,92.93255877934601,29.371795739589157
7.3,-43.4401206970215,92.67753485929654,29.634632432574065
7.308333333333334,-43.5217704772949,92.42356856353075,28.88419682783678
7.316666666666666,-43.6034088134766,92.15858250506568,29.1887926215763
7.325,-43.6849746704102,91.89816811285999,29.83769629506708
7.333333333333333,-43.7664947509766,91.64328066045975,31.026602457727783
7.341666666666667,-43.8479804992676,91.38348037267693,32.596253362562884
7.35,-43.9302101135254,91.20801709230017,33.420381498043604
7.358333333333333,-44.0128135681152,90.96162475108301,33.541974173770264
7.366666666666666,-44.0953636169434,90.6850048254961,33.646371925656794
7.375,-44.1778793334961,90.34700857453551,33.46132179290106
7.383333333333334,-44.2603607177734,89.96118041241616,33.18415599671604
7.391666666666667,-44.3428192138672,89.63853677202712,33.92394712479039
7.4,-44.4252662658691,89.36341799058498,33.43880463072946
7.408333333333333,-44.5076599121094,89.09430378572192,32.14140668669648
7.416666666666667,-44.5900764465332,88.854837177718,30.752302482182785
7.425,-44.6724472045898,88.6181340396171,28.686864606623814
7.433333333333334,-44.754753112793,88.38102149856763,27.227752497903857
7.441666666666666,-44.8370704650879,88.17505769852237,26.394208094605926
7.45,-44.9193649291992,88.00655426827139,25.621664730645612
7.458333333333333,-45.0016670227051,87.78431670102013,25.31747833985467
7.466666666666667,-45.0839614868164,87.57060836186417,24.996915831120738
7.475,-45.166202545166,87.3695573972018,24.592835120877588
7.483333333333333,-45.2483978271484,87.1639006493678,24.482705727711014
7.491666666666666,-45.330680847168,86.95916505816797,24.875323155394074
7.5,-45.4129066467285,86.74504731606345,24.663252428032422
